Country Name,Country Code,2020 [YR2020] - GDP growth (annual %) [NY.GDP.MKTP.KD.ZG],2020 [YR2020] - GDP (current US$) [NY.GDP.MKTP.CD],2020 [YR2020] - GDP per capita (current US$) [NY.GDP.PCAP.CD],2020 [YR2020] - GDP per capita growth (annual %) [NY.GDP.PCAP.KD.ZG],"2020 [YR2020] - Population, total [SP.POP.TOTL]",2020 [YR2020] - Population growth (annual %) [SP.POP.GROW]
Afghanistan,AFG,-1.9347782488959,19807067268.1084,508.808409485223,-4.16819108714095,38928341,2.30381209309418
Albania,ALB,-3.31123944391327,14799615097.1008,5215.27675237003,-2.7508163423052,2837743,-0.577942252408581
Algeria,DZA,-5.48099193515836,145163902228.168,3310.38653352368,-7.20102237381076,43851043,1.83653350440444
American Samoa,ASM,..,..,..,..,55197,-0.208127919920259
Andorra,AND,-11.9560584192697,..,..,-12.091659649427,77265,0.154134127179226
Angola,AGO,-4.04051000025351,62306913444.2917,1895.77086891313,-7.07982235374452,32866268,3.21853035205175
Antigua and Barbuda,ATG,-15.9735096410208,1415059259.25926,14449.9965204973,-16.671099060409,97928,0.833667148911523
Argentina,ARG,-9.90523485573888,383066977653.56,8441.9194391094,-10.7749774146387,45376763,0.970053991438048
Armenia,ARM,-7.59999999999999,12645459213.5235,4267.45211938157,-7.77168890475744,2963234,0.185983344838062
Aruba,ABW,..,..,..,..,106766,0.428016948088116
Australia,AUS,-0.284839297785609,1330900925056.98,51812.1540373988,-1.53208619839118,25687041,1.25869817155796
Austria,AUT,-6.25903481882027,430947393757.511,48327.6311083474,-6.65098856293406,8917205,0.419000872876687
Azerbaijan,AZE,-4.30998913316057,42607176470.5882,4214.3113363475,-5.1223794858265,10110116,0.852605731702236
"Bahamas, The",BHS,-16.2777382584104,11250000000,28607.9013752136,-17.0786657867687,393248,0.961253495469737
Bahrain,BHR,-5.81468342829542,..,..,-9.15897086061335,1701583,3.61532480809725
Bangladesh,BGD,2.37552165571601,324239176765.053,1968.79222484581,1.35405641080773,164689383,1.00277418143487
Barbados,BRB,-17.6053641017878,4365500000,15191.1640353411,-17.7057156423552,287371,0.121868007673422
Belarus,BLR,-0.900000000246891,60258239055.5829,6411.2278131981,-0.699793741212389,9398861,-0.201820684328915
Belgium,BEL,-6.28392995127165,515332499627.861,44594.3781075628,-6.82742004273285,11555997,0.581620792438621
Belize,BLZ,-14.0384211620734,1763696118.9519,4435.62115419432,-15.6101205394999,397621,1.84529559225359
Benin,BEN,3.84879240030133,15651545208.8783,1291.04096203645,1.09009852710551,12123198,2.69237381344614
Bermuda,BMU,..,..,..,..,63903,-0.0156474933035009
Bhutan,BTN,-6.77210161101478,2409262838.21987,3122.37606234724,-7.80126554117317,771612,1.11006114109419
Bolivia,BOL,-7.82328995009992,36688861202.6049,3143.04549424189,-9.08616222670869,11673029,1.37952758307147
Bosnia and Herzegovina,BIH,-4.32734580579653,19788422248.1072,6031.55686867658,-3.73878437224981,3280815,-0.613297985300864
Botswana,BWA,-7.89305358895749,15781732825.8934,6710.990411266,-9.77003188520369,2351625,2.05887502746375
Brazil,BRA,-4.05904827267295,1444733258971.65,6796.84454227877,-4.74055319539119,212559409,0.712872791114979
British Virgin Islands,VGB,..,..,..,..,30237,0.676956293539422
Brunei Darussalam,BRN,1.20300193904603,12016056665.3473,27466.3396414199,0.234422659122501,437483,0.961675067594484
Bulgaria,BGR,-4.15370282988493,69105101089.5531,9975.78000070924,-3.48302801995543,6927288,-0.697303108247042
Burkina Faso,BFA,2.02238469536866,17369059295.2226,830.925144621939,-0.817663432121762,20903278,2.82323073597345
Burundi,BDI,0.297577119233125,3258187232.63159,274.009523229095,-2.74070846256809,11890781,3.07610176014791
Cabo Verde,CPV,-14.7834050101145,1703698676.69742,3064.27238842819,-15.7109984705467,555988,1.09448034644791
